,host_id,room_type,year,count
257,135551,Entire home/apt,2013,
258,136780,Entire home/apt,2013,
259,137357,Entire home/apt,2013,
260,137980,Entire home/apt,2013,
261,138302,Entire home/apt,2013,
262,139233,Entire home/apt,2013,
263,139669,Entire home/apt,2013,
264,140011,Entire home/apt,2013,
265,140091,Entire home/apt,2013,
266,140251,Entire home/apt,2013,
267,140461,Entire home/apt,2013,
268,141165,Entire home/apt,2013,
269,141749,Entire home/apt,2013,
270,141914,Entire home/apt,2013,
271,141990,Entire home/apt,2013,
272,142178,Entire home/apt,2013,
273,142263,Entire home/apt,2013,
274,142882,Entire home/apt,2013,
275,142939,Entire home/apt,2013,
276,143257,Entire home/apt,2013,
277,143532,Entire home/apt,2013,
278,144400,Entire home/apt,2013,
279,144743,Entire home/apt,2013,
280,145258,Entire home/apt,2013,
281,145663,Entire home/apt,2013,
282,146432,Entire home/apt,2013,
283,146632,Entire home/apt,2013,
284,146993,Entire home/apt,2013,
285,147086,Entire home/apt,2013,
286,147659,Entire home/apt,2013,
287,148047,Entire home/apt,2013,
288,148507,Entire home/apt,2013,
289,148524,Entire home/apt,2013,
290,149009,Entire home/apt,2013,
291,150228,Entire home/apt,2013,
292,150258,Entire home/apt,2013,
293,150358,Entire home/apt,2013,
294,150999,Entire home/apt,2013,
295,151952,Entire home/apt,2013,
296,153101,Entire home/apt,2013,
297,155250,Entire home/apt,2013,
298,155310,Entire home/apt,2013,
299,155787,Entire home/apt,2013,
300,155839,Entire home/apt,2013,
301,156131,Entire home/apt,2013,
302,156804,Entire home/apt,2013,
303,158465,Entire home/apt,2013,
304,158983,Entire home/apt,2013,
305,159763,Entire home/apt,2013,
306,159914,Entire home/apt,2013,
307,160586,Entire home/apt,2013,
308,160785,Entire home/apt,2013,
309,160853,Entire home/apt,2013,
310,161118,Entire home/apt,2013,
311,164640,Entire home/apt,2013,
312,165574,Entire home/apt,2013,
313,165827,Entire home/apt,2013,
314,166116,Entire home/apt,2013,
315,166559,Entire home/apt,2013,
316,166830,Entire home/apt,2013,
317,167143,Entire home/apt,2013,
318,167530,Entire home/apt,2013,
319,168419,Entire home/apt,2013,
320,169184,Entire home/apt,2013,
321,169238,Entire home/apt,2013,
322,169291,Entire home/apt,2013,
323,169348,Entire home/apt,2013,
324,169443,Entire home/apt,2013,
325,170071,Entire home/apt,2013,
326,170387,Entire home/apt,2013,
327,170492,Entire home/apt,2013,
328,170764,Entire home/apt,2013,
329,171048,Entire home/apt,2013,
330,171947,Entire home/apt,2013,
331,172110,Entire home/apt,2013,
332,172182,Entire home/apt,2013,
333,172244,Entire home/apt,2013,
334,172488,Entire home/apt,2013,
335,172757,Entire home/apt,2013,
336,173317,Entire home/apt,2013,
337,173770,Entire home/apt,2013,
338,173772,Entire home/apt,2013,
339,175637,Entire home/apt,2013,
340,176296,Entire home/apt,2013,
341,178043,Entire home/apt,2013,
342,178807,Entire home/apt,2013,
343,178996,Entire home/apt,2013,
344,179514,Entire home/apt,2013,
345,180530,Entire home/apt,2013,
346,180715,Entire home/apt,2013,
347,181317,Entire home/apt,2013,
348,181377,Entire home/apt,2013,
349,181884,Entire home/apt,2013,
350,182575,Entire home/apt,2013,
351,182728,Entire home/apt,2013,
352,182972,Entire home/apt,2013,
353,182989,Entire home/apt,2013,
354,183690,Entire home/apt,2013,
355,184600,Entire home/apt,2013,
356,185569,Entire home/apt,2013,
357,185923,Entire home/apt,2013,
358,186885,Entire home/apt,2013,
359,188421,Entire home/apt,2013,
360,189883,Entire home/apt,2013,
361,190375,Entire home/apt,2013,
362,190829,Entire home/apt,2013,
363,191173,Entire home/apt,2013,
364,191557,Entire home/apt,2013,
365,192731,Entire home/apt,2013,
366,194197,Entire home/apt,2013,
367,194540,Entire home/apt,2013,
368,194639,Entire home/apt,2013,
369,195387,Entire home/apt,2013,
370,196125,Entire home/apt,2013,
371,196335,Entire home/apt,2013,
372,196504,Entire home/apt,2013,
373,196626,Entire home/apt,2013,
374,197515,Entire home/apt,2013,
375,199014,Entire home/apt,2013,
376,199116,Entire home/apt,2013,
377,199129,Entire home/apt,2013,
378,199995,Entire home/apt,2013,
379,203488,Entire home/apt,2013,
380,204288,Entire home/apt,2013,
381,204441,Entire home/apt,2013,1.0
382,207077,Entire home/apt,2013,
383,207811,Entire home/apt,2013,
384,210090,Entire home/apt,2013,
385,210174,Entire home/apt,2013,
386,210275,Entire home/apt,2013,
387,210579,Entire home/apt,2013,
388,210882,Entire home/apt,2013,
389,211751,Entire home/apt,2013,
390,212194,Entire home/apt,2013,
391,213449,Entire home/apt,2013,
392,214801,Entire home/apt,2013,
393,214816,Entire home/apt,2013,
394,215133,Entire home/apt,2013,
395,215446,Entire home/apt,2013,
396,215660,Entire home/apt,2013,
397,216161,Entire home/apt,2013,
398,216682,Entire home/apt,2013,
399,219828,Entire home/apt,2013,
400,220862,Entire home/apt,2013,
